panel,run_id,role,update,Q_def,lineage,stage06_raw_RMSE,stage07_raw_RMSE
d,D1_seed20700711,TRAIN,1,0.9919838491013327,,,
d,D1_seed20700711,TRAIN,2,1.031512443092289,,,
d,D1_seed20700711,TRAIN,3,1.020311344266058,,,
d,D1_seed20700711,TRAIN,4,1.0151365744314853,,,
d,D1_seed20700711,TRAIN,5,1.0277154924743324,,,
d,D1_seed20700711,TRAIN,6,0.9753523021851872,,,
d,D1_seed20700711,TRAIN,7,0.9612680655801578,,,
d,D1_seed20700711,TRAIN,8,1.0076675644067017,,,
d,D1_seed20700711,TRAIN,9,1.0076622189744482,,,
d,D1_seed20700711,TRAIN,10,1.0202779201693344,,,
d,D1_seed20700711,TRAIN,11,1.0151008727746813,,,
d,D1_seed20700711,TRAIN,12,1.027677723099372,,,
d,D1_seed20700711,TRAIN,13,0.9612308708625926,,,
d,D1_seed20700711,TRAIN,14,0.9753031575891193,,,
d,D1_seed20700711,TRAIN,15,0.9919107071591344,,,
d,D1_seed20700711,TRAIN,16,1.0314307622804257,,,
d,D1_seed20700711,TRAIN,17,1.0202197695348656,,,
d,D1_seed20700711,TRAIN,18,1.0075929005944313,,,
d,D1_seed20700711,TRAIN,19,1.031400745260125,,,
d,D1_seed20700711,TRAIN,20,1.0276061929879414,,,
d,D1_seed20700711,TRAIN,21,1.0150082357938313,,,
d,D1_seed20700711,TRAIN,22,0.975223472515106,,,
d,D1_seed20700711,TRAIN,23,0.9611303887737748,,,
d,D1_seed20700711,TRAIN,24,0.9918141655121958,,,
d,D1_seed20700711,TRAIN,25,1.0313275373151658,,,
d,D1_seed20700711,TRAIN,26,1.0275327239226133,,,
d,D1_seed20700711,TRAIN,27,0.9610768896542636,,,
d,D1_seed20700711,TRAIN,28,1.014914513483123,,,
d,D1_seed20700711,TRAIN,29,0.9751290400855189,,,
d,D1_seed20700711,TRAIN,30,0.9917285677525292,,,
d,D1_seed20700711,TRAIN,31,1.0200292375384727,,,
d,D1_seed20700711,TRAIN,32,1.007409753649989,,,
d,D1_seed20700711,TRAIN,33,0.9750647472303382,,,
d,D1_seed20700711,TRAIN,34,1.031185277633932,,,
d,D1_seed20700711,TRAIN,35,1.0273910726579647,,,
d,D1_seed20700711,TRAIN,36,0.9609287126921223,,,
