category,path,sha256
config,06_experiments/stage_01dp_resource_policy/configs/preregistered_resource_policy.yml,2d52fee73a2d30f91bef9156d6edab63be817cd04b16996cd3a476e191bfbf22
machine_evidence,06_experiments/stage_01dp_resource_policy/results/analysis_summary.json,16049e8ddb4c68b8dd4c90d8e2a2506f6cdba1acbbaac1563c340b864fe85809
machine_evidence,06_experiments/stage_01dp_resource_policy/results/campaign_index.csv,2c0fc10519cd762803ac87d25205e2799ec9bc2116c1ec168aff9b7514fcb69b
machine_evidence,06_experiments/stage_01dp_resource_policy/results/campaign_summary.json,10758f6ec3c7d6d4ae63f40b07f9fcab0ffa54a864db3b595cb2997abad3558f
machine_evidence,06_experiments/stage_01dp_resource_policy/results/canary_summary.csv,f05175015e6b746ff04722496025d0513a0667e0e08cc53dc52765bc0717b31e
machine_evidence,06_experiments/stage_01dp_resource_policy/results/evidence_horizon.csv,ab8d60c10f0e86d780d4e0f2337e71f648e2744c342f48beafca033849afc85f
machine_evidence,06_experiments/stage_01dp_resource_policy/results/evidence_identity.csv,3a006e0428fa1ac4ba24c8d14821a964c02048ac0040e9632d6745e70ae26c70
machine_evidence,06_experiments/stage_01dp_resource_policy/results/policy_gate_evidence.csv,fcb2c23b2fb5ab35f1156cf2e04d1696d156d1f471b87f610f5e46fcda1b2984
machine_evidence,06_experiments/stage_01dp_resource_policy/results/run_summaries/stage01dp_canary_r1.json,92308d154310ac53111dc98f1232b628e0bf3336abf9170750792ed9fcc8caae
machine_evidence,06_experiments/stage_01dp_resource_policy/results/run_summaries/stage01dp_canary_r2.json,eddfefdb6d7bd3240038b3ce2cbd731dfab273a7301883238c79e2eb6455dce9
machine_evidence,06_experiments/stage_01dp_resource_policy/results/run_summaries/stage01dp_canary_r3.json,499420a0f600339d82649d22cc3f1a94900086e0dc356fe579dcede50a375a3a
machine_evidence,06_experiments/stage_01dp_resource_policy/results/scalar_samples/stage01dp_canary_r1.csv,7e29cd183dae823f85d7e74545cb4d68c461928f479db73f4c2e199525c8eaa3
machine_evidence,06_experiments/stage_01dp_resource_policy/results/scalar_samples/stage01dp_canary_r2.csv,81c461f999bb80ab875dbf8bd6d987c17a2cd718fb41486c9f0d987e9a4bf87c
machine_evidence,06_experiments/stage_01dp_resource_policy/results/scalar_samples/stage01dp_canary_r3.csv,e104f917c3065ac5b247a3e822ca78316974150644da163e9f74f8062f14dac1
status,06_experiments/stage_01dp_resource_policy/results/stage01dp_status.txt,0ca7cdd036635e044a828afe6100b5af1d28db5177bdb2ad26444c9419b4667f
machine_evidence,06_experiments/stage_01dp_resource_policy/results/subprocess_audit.csv,78458bf68d01ca71617dc4e1b72c1b265b7b0b0337f495d7e6f90f18b0fa952e
report,07_reports/stage_01dp_evidence_horizon_audit.md,7a1756915e4cd3f5159c2fee375f4ce0e45e710b73abc85633d862bd4e3d8ca3
report,07_reports/stage_01dp_final_report.md,04e3d0d4ff868f0d8071f075c5c0a09ab1d54c5749c56e915ef6a7d42ffb1f92
report,07_reports/stage_01dp_operational_canary.md,608ca2c917af801d7fa1b17d718736e106a3ba52a611b133fb50993abc3f4dde
report,07_reports/stage_01dp_resource_policy.md,1b36b1521c416302a292a3cb5b0307c091a990aea52b4bbd13e4915f157e2d38
report,07_reports/stage_01dp_subprocess_policy.md,26057f44321367046b016986baadb8b8dc2d1107b3fb163ac6766c4596f2a586
