path,size_bytes,category,reason
project_wide_synthesis/01_artifact_inventory/complete_artifact_inventory.json,4325448,E/J,generated numerical evidence or manual-review payload; formal report/manifest retained
project_wide_synthesis/02_stage_timeline/complete_stage_timeline.json,61010,E/J,generated numerical evidence or manual-review payload; formal report/manifest retained
project_wide_synthesis/03_hypothesis_register/complete_hypothesis_register.json,5990,E/J,generated numerical evidence or manual-review payload; formal report/manifest retained
project_wide_synthesis/04_failure_register/complete_failure_register.json,17505,E/J,generated numerical evidence or manual-review payload; formal report/manifest retained
project_wide_synthesis/04_failure_register/failure_causal_tree.json,1421,E/J,generated numerical evidence or manual-review payload; formal report/manifest retained
project_wide_synthesis/05_innovation_register/complete_innovation_register.json,16246,E/J,generated numerical evidence or manual-review payload; formal report/manifest retained
project_wide_synthesis/05_innovation_register/innovation_evidence_map.json,6025,E/J,generated numerical evidence or manual-review payload; formal report/manifest retained
project_wide_synthesis/06_evidence_hierarchy/project_wide_evidence_matrix.json,2185,E/J,generated numerical evidence or manual-review payload; formal report/manifest retained
project_wide_synthesis/06_evidence_hierarchy/status_ontology.json,1473,E/J,generated numerical evidence or manual-review payload; formal report/manifest retained
project_wide_synthesis/09_publication_options/cross_paper_overlap_matrix.xlsx.inspect.ndjson,50041,E/J,generated numerical evidence or manual-review payload; formal report/manifest retained
project_wide_synthesis/10_merge_split_decision/post_stage04_merge_split_decision_tree.json,2616,E/J,generated numerical evidence or manual-review payload; formal report/manifest retained
project_wide_synthesis/11_stage04_update_interface/stage04_completed_delta/stage04_evidence_delta.json,3828,E/J,generated numerical evidence or manual-review payload; formal report/manifest retained
project_wide_synthesis/11_stage04_update_interface/stage04_completed_delta/stage04_failure_delta.json,1575,E/J,generated numerical evidence or manual-review payload; formal report/manifest retained
project_wide_synthesis/11_stage04_update_interface/stage04_completed_delta/stage04_innovation_delta.json,2440,E/J,generated numerical evidence or manual-review payload; formal report/manifest retained
project_wide_synthesis/11_stage04_update_interface/stage04_completed_delta/stage04_status_delta.json,6574,E/J,generated numerical evidence or manual-review payload; formal report/manifest retained
project_wide_synthesis/11_stage04_update_interface/stage04_evidence_import_schema.json,951,E/J,generated numerical evidence or manual-review payload; formal report/manifest retained
project_wide_synthesis/13_manifests/build_overlap_workbook.mjs,6310,J,uncertain/manual review; retained on disk and not staged
publication/verification_first_dynamic_neural_sph_v0_1/10_manifests/fontconfig_p1.xml,789,J,uncertain/manual review; retained on disk and not staged
publication/verification_first_dynamic_neural_sph_v0_1/11_literature_verification/direct_competitors/direct_competitor_matrix.xlsx.inspect.ndjson,138171,E/J,generated numerical evidence or manual-review payload; formal report/manifest retained
publication/verification_first_dynamic_neural_sph_v0_1/11_literature_verification/direct_competitors/xlsx_preview/field_guide.png,184032,J,uncertain/manual review; retained on disk and not staged
