panel,run_id,role,update,Q_def,inventory_index
a--c,D1_seed20600611,TRAIN,1,0.9102962122603998,
a--c,D1_seed20600611,TRAIN,2,1.1646690516572196,
a--c,D1_seed20600611,TRAIN,3,0.984718989559924,
a--c,D1_seed20600611,TRAIN,4,1.0115895358176032,
a--c,D1_seed20600611,TRAIN,5,0.9121746363111689,
a--c,D1_seed20600611,TRAIN,6,0.9368192702968683,
a--c,D1_seed20600611,TRAIN,7,1.1973571374976337,
a--c,D1_seed20600611,TRAIN,8,0.797305271803464,
a--c,D1_seed20600611,TRAIN,9,0.9846773028066088,
a--c,D1_seed20600611,TRAIN,10,0.9121329965901346,
a--c,D1_seed20600611,TRAIN,11,0.797278106668517,
a--c,D1_seed20600611,TRAIN,12,0.9367639598526908,
a--c,D1_seed20600611,TRAIN,13,1.011508086612218,
a--c,D1_seed20600611,TRAIN,14,1.1972752783535971,
a--c,D1_seed20600611,TRAIN,15,0.9101751728329052,
a--c,D1_seed20600611,TRAIN,16,1.1645330797851943,
a--c,D1_seed20600611,TRAIN,17,0.9845793859523908,
a--c,D1_seed20600611,TRAIN,18,0.936680350623273,
a--c,D1_seed20600611,TRAIN,19,1.1971888543569975,
a--c,D1_seed20600611,TRAIN,20,0.9100932451271588,
a--c,D1_seed20600611,TRAIN,21,1.0113799883689716,
a--c,D1_seed20600611,TRAIN,22,1.164423925511183,
a--c,D1_seed20600611,TRAIN,23,0.9119305609499124,
a--c,D1_seed20600611,TRAIN,24,0.7970821719690369,
a--c,D1_seed20600611,TRAIN,25,0.9118873650434574,
a--c,D1_seed20600611,TRAIN,26,1.1643352029277039,
a--c,D1_seed20600611,TRAIN,27,0.9843847608605929,
a--c,D1_seed20600611,TRAIN,28,1.196976614846683,
a--c,D1_seed20600611,TRAIN,29,1.011200159848314,
a--c,D1_seed20600611,TRAIN,30,0.9098689815644029,
a--c,D1_seed20600611,TRAIN,31,0.7969247156589028,
a--c,D1_seed20600611,TRAIN,32,0.9363731455902923,
a--c,D1_seed20600611,TRAIN,33,1.0110915827314295,
a--c,D1_seed20600611,TRAIN,34,1.196795968506107,
a--c,D1_seed20600611,TRAIN,35,0.9097283212681886,
a--c,D1_seed20600611,TRAIN,36,1.1640559664157075,
a--c,D1_seed20600611,TRAIN,37,0.7967618571332502,
a--c,D1_seed20600611,TRAIN,38,0.9115285434379005,
a--c,D1_seed20600611,TRAIN,39,0.9840495395858011,
a--c,D1_seed20600611,TRAIN,40,0.9361308446378185,
a--c,D1_seed20600611,TRAIN,41,0.9095335287720726,
a--c,D1_seed20600611,TRAIN,42,1.0108022641994074,
a--c,D1_seed20600611,TRAIN,43,0.7965753212596143,
a--c,D1_seed20600611,TRAIN,44,1.1964311219326051,
a--c,D1_seed20600611,TRAIN,45,0.9838486790598662,
a--c,D1_seed20600611,TRAIN,46,0.9112533707339635,
a--c,D1_seed20600611,TRAIN,47,0.9358930550587901,
a--c,D1_seed20600611,TRAIN,48,1.1636366232112918,
a--c,D1_seed20600611,TRAIN,49,0.9092544332867318,
a--c,D1_seed20600611,TRAIN,50,0.9111123439877817,
a--c,D1_seed20600611,TRAIN,51,1.1635278534610276,
a--c,D1_seed20600611,TRAIN,52,0.9836087647273489,
a--c,D1_seed20600611,TRAIN,53,0.7962503534251641,
a--c,D1_seed20600611,TRAIN,54,1.196040731179784,
a--c,D1_seed20600611,TRAIN,55,0.9356164791707381,
a--c,D1_seed20600611,TRAIN,56,1.0103084856113331,
a--c,D1_seed20600611,TRAIN,57,0.9108630610551127,
a--c,D1_seed20600611,TRAIN,58,1.0102371420541332,
a--c,D1_seed20600611,TRAIN,59,1.1958429046005024,
a--c,D1_seed20600611,TRAIN,60,0.9833311542117577,
a--c,D1_seed20600611,TRAIN,61,0.9088272210147638,
a--c,D1_seed20600611,TRAIN,62,0.9353706964529181,
a--c,D1_seed20600611,TRAIN,63,1.1630865154341636,
a--c,D1_seed20600611,TRAIN,64,0.7958867501318353,
a--c,D1_seed20600611,TRAIN,65,0.9105747145450088,
a--c,D1_seed20600611,TRAIN,66,1.1629763269278717,
a--c,D1_seed20600611,TRAIN,67,0.9830866444035344,
a--c,D1_seed20600611,TRAIN,68,1.0098770706139604,
a--c,D1_seed20600611,TRAIN,69,0.9351255330384021,
a--c,D1_seed20600611,TRAIN,70,0.7956887874152161,
a--c,D1_seed20600611,TRAIN,71,1.195365647750713,
a--c,D1_seed20600611,TRAIN,72,0.9084344203901814,
a--c,D1_seed20600611,TRAIN,73,1.1952861040951768,
a--c,D1_seed20600611,TRAIN,74,0.9083620767453368,
a--c,D1_seed20600611,TRAIN,75,0.7955229643165981,
a--c,D1_seed20600611,TRAIN,76,0.98277266682872,
a--c,D1_seed20600611,TRAIN,77,1.0095541891275348,
a--c,D1_seed20600611,TRAIN,78,1.1625347415934772,
a--c,D1_seed20600611,TRAIN,79,0.9100720876699822,
a--c,D1_seed20600611,TRAIN,80,0.934740152195164,
a--c,D1_seed20600611,TRAIN,81,1.1949671804145199,
a--c,D1_seed20600611,TRAIN,82,0.7952909272770128,
a--c,D1_seed20600611,TRAIN,83,0.9825278622043423,
a--c,D1_seed20600611,TRAIN,84,0.9345992501324479,
a--c,D1_seed20600611,TRAIN,85,0.9079677948935535,
a--c,D1_seed20600611,TRAIN,86,1.1622396467660296,
a--c,D1_seed20600611,TRAIN,87,1.0091947590837829,
a--c,D1_seed20600611,TRAIN,88,0.9097480380730898,
a--c,D1_seed20600611,TRAIN,89,0.907824581642914,
a--c,D1_seed20600611,TRAIN,90,0.9822842171304723,
a--c,D1_seed20600611,TRAIN,91,1.0090513566095594,
a--c,D1_seed20600611,TRAIN,92,1.1945305840853746,
a--c,D1_seed20600611,TRAIN,93,1.1619810479193502,
a--c,D1_seed20600611,TRAIN,94,0.9342472787172281,
a--c,D1_seed20600611,TRAIN,95,0.9094934439100762,
a--c,D1_seed20600611,TRAIN,96,0.7948241782824421,
a--c,D1_seed20600611,TRAIN,97,0.9341403256943155,
a--c,D1_seed20600611,TRAIN,98,0.9820016068284987,
a--c,D1_seed20600611,TRAIN,99,1.1617571732777472,
a--c,D1_seed20600611,TRAIN,100,0.9093131336888374,
a--c,D1_seed20600611,TRAIN,101,0.9073912913910154,
a--c,D1_seed20600611,TRAIN,102,1.0086523713549158,
a--c,D1_seed20600611,TRAIN,103,0.7945919559558761,
a--c,D1_seed20600611,TRAIN,104,1.1940504443999382,
a--c,D1_seed20600611,TRAIN,105,0.7945257987368208,
a--c,D1_seed20600611,TRAIN,106,0.9072129786100931,
a--c,D1_seed20600611,TRAIN,107,1.1939322469669755,
a--c,D1_seed20600611,TRAIN,108,0.9816530735844853,
a--c,D1_seed20600611,TRAIN,109,0.9337200611048391,
a--c,D1_seed20600611,TRAIN,110,0.9089533341665466,
a--c,D1_seed20600611,TRAIN,111,1.008329312975399,
a--c,D1_seed20600611,TRAIN,112,1.1612781717309757,
a--c,D1_seed20600611,TRAIN,113,0.9088444306120622,
a--c,D1_seed20600611,TRAIN,114,0.9814414205547989,
a--c,D1_seed20600611,TRAIN,115,1.1936111023064029,
a--c,D1_seed20600611,TRAIN,116,1.0081462001143127,
a--c,D1_seed20600611,TRAIN,117,0.7941227919458331,
a--c,D1_seed20600611,TRAIN,118,0.93339880261703,
