path,sha256,classification
06_experiments/stage_01gr_execution_infrastructure_repair/configs/stage01gr_repair.yml,9355c9f58e4a007c72371918fc6859e9fd37f0707ae7f0f7bff257e745e9ec78,repair_config
06_experiments/stage_01gr_execution_infrastructure_repair/diagnostics/run_stage01gr_dry_resolution.py,aeeb9bd916c6d6bf567d75fc1e4697b5c952c4e2c634f084fa0ea495f77c19a2,diagnostic_contract_or_smoke_log
06_experiments/stage_01gr_execution_infrastructure_repair/diagnostics/run_stage01gr_smoke.py,7d2bac73dc4640463f8c0d3459a3989a2923ba49049433141e479c4ff215a91c,diagnostic_contract_or_smoke_log
06_experiments/stage_01gr_execution_infrastructure_repair/diagnostics/stage01gr_contract.py,d0a621e526e5db41d695796ca731f094b3d66d489bcf5d30866786ce2e0557ad,diagnostic_contract_or_smoke_log
06_experiments/stage_01gr_execution_infrastructure_repair/diagnostics/stage01gr_runner_contract.md,cfde275929e09a8d808221b28d572116e203b7c84fe954108d608df8ac4983fa,diagnostic_contract_or_smoke_log
06_experiments/stage_01gr_execution_infrastructure_repair/diagnostics/stage01gr_smoke.stderr.txt,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,diagnostic_contract_or_smoke_log
06_experiments/stage_01gr_execution_infrastructure_repair/diagnostics/stage01gr_smoke.stdout.txt,cb7e4f95cfd22556442e3fdc5bf45d2a51a0078ad431ad8732c10313ac769872,diagnostic_contract_or_smoke_log
06_experiments/stage_01gr_execution_infrastructure_repair/diagnostics/stage01gr_smoke_worker.py,85bbbd331ce7784b7898c47f032b4a211a55f8623af20715c32a9740802fc2a0,diagnostic_contract_or_smoke_log
06_experiments/stage_01gr_execution_infrastructure_repair/manifests/stage01gr_failure_evidence_sha256.csv,0961d1f2b6e587874b32268eeb992c980037846e0def644b1f8f644b31a2a2d9,supporting_manifest
06_experiments/stage_01gr_execution_infrastructure_repair/manifests/stage01gr_modification_scope.csv,c7ad4a93fd7ea4e779ee91162fe81a9dfc3de9aeb1af23a739af95b54de48b4e,supporting_manifest
06_experiments/stage_01gr_execution_infrastructure_repair/manifests/stage01gr_repair_code_sha256.csv,90949a4c0c58e560efdfe949eea54e92e9712009f8347acd850d22c74c1e0ca8,supporting_manifest
06_experiments/stage_01gr_execution_infrastructure_repair/results/stage01gr_config_resolution.csv,51ab7dc79c251459592d52a6dcb7a0c554cb25429c15745076ff62ad4cf96bbf,audit_result
06_experiments/stage_01gr_execution_infrastructure_repair/results/stage01gr_dry_metadata.json,0a6c5e08ffb09d6803e07d9c86d7a824a5adb503bf6e36b0e0834f16de68bdd5,audit_result
06_experiments/stage_01gr_execution_infrastructure_repair/results/stage01gr_dry_run_results.csv,c9e31553c073eb210e1176218a65ad29904dfc6aafa82ed767decb94bb233111,audit_result
06_experiments/stage_01gr_execution_infrastructure_repair/results/stage01gr_evaluation.json,55dfdc617e5f6ba5ed1fa911315ab12a664259ef3c102e4cd0c0132968608c95,audit_result
06_experiments/stage_01gr_execution_infrastructure_repair/results/stage01gr_failure_taxonomy.json,a6c63d910f18a07da8034d7ec1fe99c25a799dba118ee2c4c23cbf86dda38f78,audit_result
06_experiments/stage_01gr_execution_infrastructure_repair/results/stage01gr_minimal_smoke.json,096fc96ec11ec03fa904dedef6ff633cfde1a9eaa7a7e1cab621bba8fdf499f6,audit_result
06_experiments/stage_01gr_execution_infrastructure_repair/results/stage01gr_provenance.json,7a84fe23dbaa7947d10b9a2d90bf6a216202cbbe3c42ed5de60fec7ccc78ccaa,audit_result
06_experiments/stage_01gr_execution_infrastructure_repair/results/stage01gr_smoke_worker_result.json,9a43ce7cc7d28ede91058af80eb917591667dcc256bd3a2fc6336d38faf3104d,audit_result
06_experiments/stage_01gr_execution_infrastructure_repair/results/stage01gr_solver_identity.json,6f4e2ba220e9f243c8a5ac422a623db0625bc5adeb5840dfc38cb03f575161ac,audit_result
07_reports/stage01gr_config_resolution.md,7698f8d292588514b623fb8d5837c264a0fd5f49e24c8010341efc8a70c94fc2,repair_report
07_reports/stage01gr_dry_run_validation.md,5a8af47a8f49cbe13a418a5b01574a2afbc784564764d001ac249e81f561e443,repair_report
07_reports/stage01gr_failure_analysis.md,9885cd6689edbe4293ed33fecc9b77ecd5b9f6f02cb9f5108757077a6625339a,repair_report
07_reports/stage01gr_final_report.md,f5f709d5afc8204c9a0ec32db84d90bc3e718b5d0295da233875cb96cdb62fa8,repair_report
07_reports/stage01gr_minimal_smoke.md,a1b8741a1c46e771db883c03694ad1ce141c0884ea3e1e00c0466107a65c0cb6,repair_report
07_reports/stage01gr_runner_audit.md,8589c7c941069f45daaf7a773569cf81bebf45601b51f142af93cdca45205233,repair_report
tests/test_stage01gr_failure_reproduction.py,481e44b1a2fc0b657794c4d68efe51dfc459bf9720997046cf1cb194453001c3,repair_test
tests/test_stage01gr_fix_validation.py,8f4c54fdb79d71fe20ec7b37e7c7fa07877cde434b5c330409bc35f8dd9f648e,repair_test
tests/test_stage01gr_no_solver_modification.py,f0f9724838fac0afebf74d88a515e95d2eb43defe50ab53eb26cc8b49b3ac71a,repair_test
